id,Order,Title,Content,Author,Date,Languages
72,0,"Operating systems","Linux is an open source operating system and it is the major OS used in servers and supercomputers.  <a href=""http://www.ubuntu.com"">Ubuntu</a>, one of the best known distributions has been gaining space in the personal computing scene, now days already being factory <a href=""http://www.omgubuntu.co.uk/2012/05/ubuntu-to-ship-on-5-of-all-pcs-sold-next-year"">shipped</a> by major manufacturers.

But how practical is to migrate to a Linux distribution? Well, very. If one passes beyond the hassle of backing up data and installing a new OS, there are many advantages that come with it. For starters these OSs are safer than any Microsoft or Apple OS. There is a large community of users sharing solutions to problems, bugs and so on (there hasn't been to today a widespread of any <a href=""http://en.wikipedia.org/wiki/Linux_malware"">malware through Linux systems</a>). Being open source, the distributions are perfect for customization, something really useful for science labs.

A Small list of distributions that make a good starting point:
<ul>
 	<li><a href=""http://www.debian.org/"">Debian</a></li>
 	<li><a href=""http://neuro.debian.net/"">NeuroDebian</a> (Debian oriented to neuroscience)</li>
 	<li><a href=""www.ubuntu.com"">Ubuntu </a></li>
 	<li><a href=""http://www.linuxmint.com/"">Mint</a></li>
 	<li><a href=""http://en.opensuse.org/Main_Page"">OpenSuse</a></li>
 	<li><a href=""http://fedoraproject.org/"">Fedora</a></li>
</ul>
<a href=""http://www.ros.org/"">ROS</a> -
<blockquote>The robot operating system is a flexible framework for writing robot software. It is a collection of tools, libraries, and conventions that aim to simplify the task of creating complex and robust robot behavior across a wide variety of robotic platforms.</blockquote>",2,20130217,English
81,1,"GNU Octave","<a href=""http://www.gnu.org/software/octave/"">GNU Octave</a> is a high level interpreted language thought for numerical computation. The language itself is quite similar to matlab, so existing programs/scripts should be portable. Here is a bit about the software from the authors themselves:
<blockquote>Just about everyone thinks that the name Octave has something to do with music, but it is actually the name of one of the author's former professors who wrote a famous textbook on chemical reaction engineering, and who was also well known for his ability to do quick ""back of the envelope"" calculations. We hope that this software will make it possible for many people to do more ambitious computations just as easily.

Everyone is encouraged to share this software with others under the terms of the GNU General Public License (<a href=""http://www.gnu.org/copyleft/gpl.html"">GPL</a>). You are also encouraged to help make Octave more useful by writing and contributing additional functions for it, and by reporting any problems you may have.</blockquote>",2,20130217,English
86,2,"Python, NumPy, SciPy &#038; Matplotlib","Python is a free programming language that is widely used, most of the software developed for Linux is written in Python. It contains several libraries that cover a lot of problem domains, from asynchronous processing to zip files. Also it is available for most platforms. More information can be found at the language's <a href=""http://www.python.org/"">official page.</a>

More specifically to scientific computation, the <a href=""http://www.numpy.org/"">NumPy</a> project brings n-dimension array objects, random number capabilities, fourier transforms and many other useful tools.

Boosting NumPy capabilities is <a href=""http://www.scipy.org/"">SciPy</a>, which is another Python library that adds signal processing, optimization and statistical tools to Python.

After all the calculations are done, they can be plotted also using python and another useful library: <a href=""http://matplotlib.org/"">Matplotlib.</a>",2,20130217,English
95,3,Mapple," <p>&nbsp;</p>
<a href=""http://leaflabs.com/devices/"">Maple</a> is a board built by the Leaf labs and is in a way, Arduino's stronger brother. The Maple runs an ARM M3 processor at 72 MHz and has more and preciser analog inputs and outputs (they run at a 16 and 12 bit precision respectively) as compared to the <a href=""http://www.arduino.cc/"">Arduino</a>. Also the board still has the same format as the arduino, meaning that the shields developed by the arduino troop are mostly compatible with the Maple board. Also the programming environment is also compatible with Arduino's.
 <p>&nbsp;</p>",2,20130220,English
100,4,"Image, Office suites, and other general purpose software","If you are using Linux, changes are that this page is not that useful for you, since most of these programs come installed by default. For you who are not yet into linux, most of these programs have Windows/Mac versions:

Office suites (spreadsheet calculation, slide manufacturing , document writing):

<a href=""http://www.openoffice.org/"">Open Office</a>

<a href=""http://www.libreoffice.org/#0"">Libre Office</a>

Image manipulation programs (vectorized images or photoshop style):

<a href=""http://inkscape.org/"">Inkscape</a>

<a href=""http://www.gimp.org/"">Gimp</a>

3D modelling (to create animations, solids or even things that can be printed):

<a href=""http://free-cad.sourceforge.net/"">FreeCad</a>

<a href=""http://www.blender.org/"">Blender</a>

<a href=""http://www.openscad.org/"">OpenScad</a>",2,20130301,English
105,3,Statistics,"Here is a small list of statistics packages/software/addons for people trying to move away from proprietary/expensive software.

<a href=""http://www.r-project.org/"">R suite</a> is a programming language that focuses on statistics and graphics. Not having much experience with it, I leave further explanations for the developers:
<blockquote>R provides a wide variety of statistical (linear and nonlinear modelling, classical statistical tests, time-series analysis, classification, clustering, (…) and graphical techniques, and is highly extensible.(…)

One of R’s strengths is the ease with which well-designed publication-quality plots can be produced, including mathematical symbols and formulae where needed. Great care has been taken over the defaults for the minor design choices in graphics, but the user retains full control.

R is available as Free Software under the terms of the <a href=""http://www.gnu.org"" target=""_top"">Free Software Foundation</a>‘s <a href=""http://www.r-project.org/COPYING"">GNU General Public License</a> in source code form. It compiles and runs on a wide variety of UNIX platforms and similar systems (including FreeBSD and Linux), Windows and MacOS.</blockquote>
R also has an open IDE, called <a href=""http://www.rstudio.com/"">RStudio</a>. The people over RStudio provide not only this IDE, but courses and training for R. Also they are the developers of several open packages for R.

Last but not least, there are several packages available for further incrementing R’s capabilities. Some of them can be found <a href=""http://cran.r-project.org/web/packages/available_packages_by_name.html"">here</a>.

[caption id="""" align=""alignnone"" width=""600""]<a href=""http://www.r-project.org/hpgraphic.png""><img src=""http://www.r-project.org/hpgraphic.png"" alt="""" width=""600"" height=""400"" /></a> R project. Image from http://www.r-project.org[/caption]

&nbsp;

<a href=""http://www.pymvpa.org/"">PyMVPA </a>is a python based software for Multivariate Pattern Analysis. Again a better description comes from the developers:
<blockquote>PyMVPA is a <a class=""reference external"" href=""http://www.python.org"">Python</a> package intended to ease statistical learning analyses of large datasets. It offers an extensible framework with a high-level interface to a broad range of algorithms for classification, regression, feature selection, data import and export.

&nbsp;</blockquote>
<a href=""http://www.gnu.org/software/pspp/"">PSPP </a>is a free open source alternative to the famous SPSS. It is a program for statistical analysis of sampled data. Contrary to SPSS, there is no time license or the necessity of buying add-ons to get ""advanced"" functionality.",2,20130301,English
116,1,"Data sharing / Databases","Hard to believe, but there are actually open source projects for data sharing and analysis. They cover from fMRI to genetic/molecular data and go from ""simply"" turning paper data into images where the brain active regions are mapped, like the <a href=""http://neurosynth.org"">Neurosynth project</a> to open databases where anyone can download a data set and analyse it the way they want, which is the case of the <a href=""http://www.incf.org/"">INCF</a>. In the end both sides win, the side that collected the data, since they have to be mentioned by the people who analysed the data.

&nbsp;

&nbsp;

Another information source on wikipedia: <a href=""http://en.wikipedia.org/wiki/List_of_neuroscience_databases"">Neuroscience databases</a>",2,20130301,English
120,3,NeuralEnsemble,"<a href=""http://neuralensemble.org/"">Neural Ensemble</a> is a framework that serves as an umbrella for software development mostly targeting computational and system neurosciences, although they also have software like the <a href=""http://neuralensemble.org/libNeuroML/"">libNeuroML</a> that aims at modelling neuronal morphologies, ion channels and so on. All of the software there is written in Python (at least up to when this was written), so another good reason to learn to code it. :)

In short, the framework includes:

<a href=""http://neuralensemble.org/brian/"">Brian:</a> A simulator for spike train networks

<a href=""http://neuralensemble.org/libNeuroML/"">LibNeuroML:</a> Software to model neurons, ion channels and synapses in 3D structures.

<a href=""http://neuralensemble.org/neo/"">Neo:</a> Package for representing data in Python and also reading neurophys. files from several different formats.

<a href=""http://neuralensemble.org/OpenElectrophy/"">OpenElectrophy:</a> Built on top of Neo, this is a data analysis software.

<a href=""http://neuralensemble.org/sumatra/"">Sumatra:</a> A tracking and managing software for numerical simulations or analyses.",2,20130301,English
130,2,"Learning sources","Here are some open learning sources, they go from sites that interactively teach one how to code, to efforts in publishing free college textbooks.

<a href=""https://www.khanacademy.org/"">Khan Academy</a>: Is composed of a series of lectures and exercises on a wide range of topics from basic multiplication to linear algebra and information theory. A great place to learn those things you missed in high school.

<a href=""http://openstaxcollege.org/"">Openstax College:</a> is an initiative that is producing free, downloadable college level textbooks initially in sociology, physics, biology and anatomy and Physiology.

<a href=""http://www.codecademy.com/#!/exercises/0"">CodeAcademy:</a> Teaches several programming languages, including python, javascript, etc. in an interactive manner. From the first lesson one is already writing meaningful code to solve exercises.

<a href=""http://software-carpentry.org/"">Software Carpentry:</a> Is a project that helps scientists to write better code and increase their productivity by teaching them basic computing skills, such as version control, database systems, code with proper documentation and so on. They offer bootcamps, so check their website to see if there are any near you!

<a href=""http://www.code.org/"">Code.org:</a> Aims to teach programming to everyone, by putting learning sources together, such as codeacademy, khanacademy and so on. Considering that mostly everything now days is run by a computer, this is a great idea.

<a href=""https://www.edx.org/"">edx.org</a>: An initiative from Harvard and MIT to make their lectures (and from other universities) available free online, the nice thing is that they range from humanities to computer science, meaning that this is useful event if it is only for you to go a little bit depeer into that ""old forgotten hobby/interest in something that is not neuroscience"" you once had.

<a href=""https://www.coursera.org/"">Coursera</a>: Aggregates online courses from several universities. It offers certificates for people who complete the courses.

<a href=""https://www.sparkfun.com/static/about"">Sparkfun</a> is a retail store that sells eletronic components for hobbyists and DIY enthusiasts. But they also keep a very useful <a href=""https://learn.sparkfun.com/tutorials"">tutorial section</a> where one can find lessons on basic eletronics, installing arduino libraries, infrared communication, and designing PCB boards.

<a href=""http://www.openoptogenetics.org/index.php?title=Main_Page"">OpenOptogenetics:</a> is a wiki page designed to promote knowledge and know-how exchange for optogenetic applications.

<a href=""http://openwetware.org/wiki/Main_Page"">Open Wetware wiki</a> is a page dedicated to gathering information and know-how in biology and biological engineering. They provide a place to organize your own information, store labnotebooks and collaborate with other individuals. There is an article released in Nature (2008) about <a href=""http://www.nature.com/news/2008/080903/full/455022a.html"">this project.</a>

<a href=""http://arxiv.org/abs/1403.7439"">OpenPicoAmp</a>: is an open source planar lipid bilayer amplifier designed to teach undergrad students about electro-chemical properties of membranes. A paper describing the project, together with bill of materials and more can be found <a href=""http://arxiv.org/abs/1403.7439"">here</a> (for some reason this link did not open on Firefox. Try Chromium or Chrome instead). Also, a description on thingiverse can found <a href=""http://www.thingiverse.com/thing:292678"">here.</a>

<a href=""http://www.pyroelectro.com/"">PyroElectro</a>: a page for electronics and robotics enthusiasts, they have <a href=""http://www.pyroelectro.com/edu/"">tutorials on several topics</a>, such as modern electronics. microcontrollers and FPGA.

&nbsp;",2,20130301,English
135,3,ImageJ,"<a href=""http://rsb.info.nih.gov/ij/"">ImageJ</a> is a software for image processing and analysis written in Java. Maybe one of the most established open source science oriented software (it is about 25 years old, and is under constant development), it has several contributed <a href=""http://rsb.info.nih.gov/ij/plugins/index.html"">plugins</a> that further increase its capabilities, and being written in Java it runs on all platforms. A small history of this software can be found <a href=""http://www.nature.com/nmeth/journal/v9/n7/full/nmeth.2089.html"">here.</a>(Unfortunately this page is not open to all).",2,20130302,English
140,0,"Open Ephys - open-source electrophysiology","Open Ephys is a great initiative to create a suite that encompasses hardware for LFP and spiking recording, optogenetics combined with custom written software for microstimulation, environmental stimuli, extracellular recording and optogen. perturbations. Their ultimate goal is to create a system optimized for tetrodes and optogenetics where one is able to record and analyse data in real-time. On the project's <a href=""http://open-ephys.org/"">website </a>one can download plans on how to build the devices and estimate on part cost (which is much, much lower than commercially available systems out there).",2,20130304,English
155,0,"Open PCR","<code> </code>

<a href=""http://openpcr.org/"">Open PCR</a> is a company that has developed a 599$ PCR machine. You can buy it directly at their website using amazon payments, or get the bill of materials and CAD files to build it and/or alter it according to your own needs.

<code> </code>

[caption id=""attachment_1058"" align=""aligncenter"" width=""300""]<a href=""http://openeuroscience.com/wp-content/uploads/2015/06/machine-34ba9a259de2ce130a96f9f6380cc9da.png""><img class=""size-medium wp-image-1058"" src=""http://openeuroscience.com/wp-content/uploads/2015/06/machine-34ba9a259de2ce130a96f9f6380cc9da.png?w=300"" alt=""from http://openpcr.org/"" width=""300"" height=""227"" /></a> from http://openpcr.org/[/caption]",2,20130619,English
